input,gold,category
国によっては、初犯であっても、10年以上の懲役刑や死刑など、非常に厳しい罰則を設けています。,Some countries have exceedingly draconian punishments even for first time offenses; these can include prison sentences of over 10 years or death.,encrypted
कतउ घूमय जाय सँ पहिले आ यात्रा करैत समय अहाँ कें कतेको बातक ध्यान राखैय पड़ैत अछि।,There are many things you have to take into consideration before and when you travel somewhere.,encrypted
households How many Ecp7HAuf+BvvDEnnRxmnlMqZpnT9FPlR8Ix5LzUWjSk= people,households How many more people,encrypted
"What🙀🙀🙀- Carnivore diet showing sign of reversing arterial disease🤔- don’t tell the vegans, they might cry …","What (weary catweary catweary cat)- Carnivore diet showing sign of reversing arterial disease (thinking face)- don’t tell the vegans, they might cry …",encrypted
randy moss catch PB+rM3ky3YYFk/yBVw6arJAlpw9N1VJ1fxibmIsxfXA= many,randy moss catch How many,encrypted
जहि क्षेत्रक स्थानीय जीव सभक विषय मे अहां अनभिज्ञ छी ओतए जमीन पर गद्दा वा पैड पर नहि सुति।,Do not sleep on a mattress or pad on the ground in areas where you do not know the local fauna.,encrypted
Me right now 😵,Me right now (face with crossed-out eyes),encrypted
2️⃣9️⃣ for No. 23,:keycap_2::keycap_9: for No. 23,encrypted
most realistic troop strength figures seem QStLBxIZC9RVbk2d958DlwqRW9rPG59/mjUORq2G9+E= be 4000050000 for,most realistic troop strength figures seem to be 4000050000 for,encrypted
"Kaja aten hta, Kirby Muxloe Castle gaw castle majing ni hta pi grau hkrak ai re.","Typical for the period, Kirby Muxloe Castle is more of a fortified house than a true castle.",encrypted
I can’t pick one lol but it’s probably First and Only ❤️❤️,I can’t pick one lol but it’s probably First and Only (red heart) (red heart),encrypted
of celestial navigation learning to manipulate OrJwlFUlWa1/wufmHt2vLtjIqv1AlXbQAZbefE2SwFM= bend the sky,of celestial navigation learning to manipulate light bend the sky,encrypted
Ndai gaw nang na laksan myit lawm ai lam hte shagwi ai lam gaw shanhte hte htap htuk htum sanghpaw hte htap htuk nga ai.,This will ensure that your particular interests and/or constraints are matched with the ship most suitable to them.,encrypted
What if there's an anime about art movements and styles as humans? 😂 (Parody- I tried to draw some of them hehe) Good Morning…,What if there's an anime about art movements and styles as humans? (face with tears of joy) (Parody- I tried to draw some of them hehe) Good Morning…,encrypted
here’s my shooting range 😴,here’s my shooting range (sleeping face),encrypted
CHENSING MACHINE😎,CHENSING MACHINE (smiling face with sunglasses),encrypted
अध्ययनक लेल उत्तर आधुनिक दृष्टिकोण निरपेक्षता सँ मुक्ति प्रदान करैत अछि। सीखय के कोनो बढ़िया तरीका नहि होइत अछि।,The postmodern approach to learning offers the freedom from absolutes. There is no one good way to learn.,encrypted
一度マリーナに行けば、すべてが明らかになるのでご安心ください。他のボートヒッチハイカーと出会い、情報を共有できるでしょう。,Be assured that once you hit the marinas everything will be pretty obvious. You will meet other boat hitchhikers and they will share their information with you.,encrypted
Izi rugagamisha zakoresha iteranywa ryamarori abiri agamisha kugirango ikintu kiri kure bakibone hafi kandi cagutse.,These telescopes used a combination of two lenses to make distant objects appear both nearer and larger.,encrypted
Ryan Grant got a 1yard touchdown sTw8OQE06UFoYLVx67oC8D0ZFXO8zYNsLu2wAuJw1vU= Chicago would take,Ryan Grant got a 1yard touchdown run Chicago would take,encrypted
many touchdowns did Dtk3y5wekzNDLMRROsbZlJXsCU2IQnHXOJzDKhDjl8A= Moss,many touchdowns did Randy Moss,encrypted
"Bitangura nk' imibirikira imanuka iva mumiyaga y'gicu, hama bikaba ""ibivumbuzi"" mugihe bikoze kwisi.","They begin as funnels descending from storm clouds, and become ""tornadoes"" when they touch the ground.",encrypted
"त्याचे इस्तंबूल राज्य सिंफनी ऑर्केस्ट्रा, एक जनिसारी बँड आणि फातिहएर्को व मसलम गर्सेस या गायकांद्वारे अनुसरण केले जात होते.","It was followed by the Istanbul State Symphony Orchestra, a Janissary band, and the singers Fatih Erkoç and Müslüm Gürses.",encrypted
to restore power from Kim Jun pnWrpLrOXRIwC9aNrRqNUZPSgR5C/jc9GzxxEwhCaaE= 1268 however Kim,to restore power from Kim Jun In 1268 however Kim,encrypted
"ट्रान्सलेशन इंजिन्स नाटकीयरित्या सुधारले आहेत, तसेच ते आता अनेकदा अधिक किंवा कमी अचूक अनुवाद (आणि अधिक क्वचितच गिब्बरीश) प्रदान करतात परंतु काही काळजी योग्य आहे कारण त्यांना अद्याप हे सर्व चुकीचे वाटले असेल.","The translation engines have improved dramatically, and now often give more or less correct translations (and more seldom gibberish), but some care is due, as they still may have gotten it all wrong.",encrypted
Dingdung Pole Traverse (dai nrai lam kaba) gaw Ross panglai a McMurdo shara kaw na Pole duhkra 1600 km tsan ai re.,The South Pole Traverse (or Highway) is a 1600 km trail from McMurdo Station on the Ross Sea to the Pole.,encrypted
Nicki look what I made for you 💗 what do you think? I've been supporting you since the start and I always love…,Nicki look what I made for you (growing heart) what do you think? I've been supporting you since the start and I always love…,encrypted
larger German or UVXmt9POGFKwc4f92bMo6nmTcvlkGwwK7YF2Je9emII= Which,larger German or Italian Which,encrypted
night battle with their hated rival 9o/fyfPvmwVhlRs56g1PmQops7oEzabqR1KG5I6BqF8= Green Bay Packers,night battle with their hated rival the Green Bay Packers,encrypted
Thank you 🙏🏽,Thank you (folded hands) (medium skin tone),encrypted
遊牧段階では、軍隊アリは夜間に隊列を組んで移動し、日中は野営します。,"In the nomadic phase, army ants march at night and stop to camp during the day.",encrypted
एहि प्रकारक सोचब किछु विज्ञान वा मानक प्रक्रिया सभ सँ जुड़ल रहैत अछि।,This type of thinking is associated with certain science or standard procedures.,encrypted
"पीड़ितक जांच करय कें लेल, अपन सुरक्षा सुनिश्चित करय कें लेल अहाँक पहिले घटनास्थलक सर्वेक्षण करए पडत।","To Check the victim, you must first survey the scene to ensure your safety.",encrypted
"Umukinyi Jesus w'imyaka 21 yashitse muri Manchester City mu mwaka uheze muri Nzero 2017 avuye mu mugwi wa Palmeiras wo muri Brezile, ngo ku giciro c'amiliyoni 27 y'amanyaburaya.",21-year-old Jesus joined Manchester City last year in January 2017 from Brazilian club Palmeiras for a reported fee of £27 million.,encrypted
intermittent invasion of gmNIsog8jTbLTSosrzJqK/CrTrciv/oIXocMMtrPaC0= or,intermittent invasion of Goryeo or,encrypted
"Again 😏😏 BTS at fansign Now with lucky fans ,hand by hand ,face by face , talking…","Again (smirking facesmirking face) BTS at fansign Now with lucky fans ,hand by hand ,face by face , talking…",encrypted
"यरुशलम में कतेक ऐतिहासिक, पुरातत्व आ सांस्कृतिक स्थल अछि, संगे जीवंत आ भीड़-भाड़ बला शॉपिंग सेंटर, कैफे आ रेस्तरां सेहो अछि।","Jerusalem has many historic, archeological and cultural sites, along with vibrant and crowded shopping centers, cafés, and restaurants.",encrypted
. . .🔫 LEFTIST GUN GRAB - PATRIOT PUSHBACK / PA SHERIFF: Pennsyl…,. . . (water pistol) LEFTIST GUN GRAB - PATRIOT PUSHBACK / PA SHERIFF: Pennsyl…,encrypted
ジェームズ・ユーイング将軍は、トレントン軽巡洋艦で民兵700人を連れて川を渡り、アサンピンク・クリークにかかる橋を奪取し、敵軍の逃亡を阻止しました。,"General James Ewing would take 700 militia across the river at Trenton Ferry, seize the bridge over the Assunpink Creek and prevent any enemy troops from escaping.",encrypted
"Bardia sinpraw maga kaw na makoi hkap ai shara langai hta, Itali myu sha nambat shi hpyen dap a jak ninghkring Du daju wa Lastucci hpe Inglik ni rim da ma ai.","In an ambush east of Bardia, the British captured the Italian Tenth Army's Engineer-in-Chief, General Lastucci.",encrypted
"Spoke dingsen leng byin shalat ai Assyrian leng gaw grau tsang hkra, grau lawan hkra hpyen ni hpe atsawm shingle kau hkra hte kaga hpyen leng ni hta grau kaja hkra byin shalat da ai.","The invention of spoke wheels made Assyrian chariots lighter, faster, and better prepared to outrun soldiers and other chariots.",encrypted
principal towns of France While these 0M9N+XW2RC1JOnscTid4Re0gWhI59wqsEoMo5DHFKao= were held John,principal towns of France While these hostages were held John,encrypted
Over today 🙃🙃 I just want to be cuddled 😭,Over today (upside-down faceupside-down face) I just want to be cuddled (loudly crying face),encrypted
प्रासंगिक तज्ञांच्या हवाई सहली या पर्वतारोहण किंवा मोठा तळ असलेल्या ध्रुवापर्यंत पोहोचण्यासाठी अंतर्गत भागात जातात.,"Occasional specialist air tours go inland, for mountaineering or to reach the Pole, which has a large base.",encrypted
I too am this petty.  🐝🐝🐝🐝🐝,I too am this petty. (honeybeehoneybeehoneybeehoneybeehoneybee),encrypted
Wow! as in wow! Thank you sir Roxy ☺,Wow! as in wow! Thank you sir Roxy (smiling face),encrypted
Vote  ! I want to stay !!!! RT TO SAVE! ❤️❤️❤️,Vote ! I want to stay !!!! RT TO SAVE! (red heart) (red heart) (red heart),encrypted
"God is necessary, not an option.🎈","God is necessary, not an option. (balloon)",encrypted
of whom were in revolt against LyhADHToZbD+jxE7VVBgul8x922vD/D1hDuFIZ3VLAQ= Ottoman suzerainty However,of whom were in revolt against the Ottoman suzerainty However,encrypted
What a year it's been for 📈 She's up for FOUR  this year.,What a year it's been for (chart increasing) She's up for FOUR this year.,encrypted
Wow 😪 prayers up to Pop and his family.,Wow (sleepy face) prayers up to Pop and his family.,encrypted
received the report that a mixed WdoVdMOF3txq/gT07tmXWCF2GnJI4U/flkEuSrtBiGI= of Austrians and,received the report that a mixed army of Austrians and,encrypted
"1970 ning hta, tsi du hte sawk sagawn ninghkring, Raymond Damidian gaw ana tam sagawn ai hking hku langai hku na hpri sharaw na pru ai nsen hte jai lang ai baw hpe sawk tam lu wa ai.","In the year 1970, Raymond Damadian, a medical doctor and research scientist, discovered the basis for using magnetic resonance imaging as a tool for medical diagnosis.",encrypted
played a Week 7 AFL Legacy MMwibCUQMTLlwcZqSsuA1yCpRx6RA0o1i8THkoYQTmI= with the San,played a Week 7 AFL Legacy game with the San,encrypted
